id	section	stakeholder	question	answerable_now	answerable_now_raw	answerability_promotion	dashboard_location	metric_used	time_window	how_derived	owner	gap_note	verdict	confidence	reproducible
B1	B Builders	Builders / protocol designers	Are emissions too rigid relative to demand?	Y	P	promoted_from_P_confidence>=0.79_reproducible	Simulator/Sidebar Tokenomics; DecisionTree/Financial	demand_delta_pct; mint_delta_pct; rigidity_gap_pct; emission_model	W21 to W25	Emissions are not currently showing severe rigidity versus demand.	AutoEvaluator	Emissions are not currently showing severe rigidity versus demand.	no	0.84	true
B2	B Builders	Builders / protocol designers	How tightly do rewards track usage?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Utility; DecisionTree/Financial	usage_delta_pct; reward_delta_pct; reward_usage_tracking_gap_pp; emission_model	W1 to W25	Reward-usage tracking is inferred from minted vs demand-served deltas.	AutoEvaluator	Reward-usage tracking is inferred from minted vs demand-served deltas.	at_risk	0.81	true
B3	B Builders	Builders / protocol designers	Under demand contraction, how fast does burn-to-emission deteriorate?	Y	Y	not_applicable	DecisionTree/Utility	contraction_detected	W1 to W25	No demand-contraction phase detected in this run.	AutoEvaluator	None	no	0.83	true
B4	B Builders	Builders / protocol designers	Which parameter has highest sensitivity on churn?	P	P	remains_P	Diagnostic/SensitivityHeatmap; Simulator/Sidebar Tokenomics	top_churn_sensitivity_parameter; top_churn_sensitivity_score; current_churn_pct_week	W25 parameter state	Highest modeled churn sensitivity is currently churnThreshold (score 2.75).	AutoEvaluator	Highest modeled churn sensitivity is currently churnThreshold (score 2.75).	at_risk	0.77	true
B5	B Builders	Builders / protocol designers	Which parameter has highest sensitivity on solvency?	P	P	remains_P	Diagnostic/SensitivityTornadoChart; Simulator/Sidebar Tokenomics	top_sensitivity_parameter; top_sensitivity_score; solvency_ratio	W25 parameter state	Highest modeled solvency sensitivity is currently competitorYield (score 1.00).	AutoEvaluator	Highest modeled solvency sensitivity is currently competitorYield (score 1.00).	no	0.74	true
B6	B Builders	Builders / protocol designers	What is the minimum provider margin needed to avoid churn acceleration?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; Simulator/Sandbox Tier 1	current_margin_usd_week; min_margin_needed_usd_week; churn_acceleration_pp	W24 to W25	Estimated minimum margin to avoid churn acceleration is 10.00 USD/week.	AutoEvaluator	Estimated minimum margin to avoid churn acceleration is 10.00 USD/week.	no	0.79	true
B7	B Builders	Builders / protocol designers	Which provider tiers fail first under cost inflation?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; Benchmark/AIInsights	provider_cost_delta_vs_reference_pct; pro_margin_usd_week; mercenary_margin_usd_week; first_failing_tier	W25 cost-inflation view	No tier currently below break-even appears to fail first under current cost inflation conditions.	AutoEvaluator	No tier currently below break-even appears to fail first under current cost inflation conditions.	no	0.79	true
B8	B Builders	Builders / protocol designers	How much liquidity depth is needed to prevent severe reward compression after unlock?	P	P	remains_P	Simulator/Sidebar Liquidity; DecisionTree/Financial	unlock_value_usd; current_liquidity_usd; required_liquidity_usd; liquidity_gap_usd; unlock_reward_compression_pct	Unlock event at W27	Current liquidity depth is insufficient to prevent severe unlock-driven reward compression.	AutoEvaluator	Current liquidity depth is insufficient to prevent severe unlock-driven reward compression.	no	0.74	true
B9	B Builders	Builders / protocol designers	How long is the lag from price shock to churn?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; DecisionTree/Utility	lag_shock_to_churn_weeks; lag_churn_to_capacity_weeks; pre_shock_churn_pct	Shock at W1 onward	Estimated lag from shock to churn is 1 weeks.	AutoEvaluator	Estimated lag from shock to churn is 1 weeks.	yes	0.82	true
B10	B Builders	Builders / protocol designers	How long is the lag from churn to capacity loss?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; DecisionTree/Utility	churn_spike_week; lag_churn_to_capacity_weeks; churn_baseline_pct_week	Churn spike at W1 onward	Estimated lag from churn spike to capacity loss is 1 weeks.	AutoEvaluator	Estimated lag from churn spike to capacity loss is 1 weeks.	yes	0.82	true
B11	B Builders	Builders / protocol designers	What happens if beta/bonus rewards are extended 4, 8, or 12 weeks?	P	P	remains_P	Simulator/Sidebar Tokenomics; DecisionTree/Miner	ext4_retention_delta_pp; ext4_subsidy_gap_delta_pp; ext8_retention_delta_pp; ext8_subsidy_gap_delta_pp; ext12_retention_delta_pp; ext12_subsidy_gap_delta_pp	Projection from current state W25	Short extensions help retention, but longer extension windows meaningfully increase subsidy dependence.	AutoEvaluator	Short extensions help retention, but longer extension windows meaningfully increase subsidy dependence.	at_risk	0.71	true
B12	B Builders	Builders / protocol designers	What is the probability of death-spiral conditions under each scenario?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Risk; Benchmark/SolvencyProjectionChart	death_spiral_probability_pct; insolvency_weeks; panic_churn_weeks; max_price_drawdown_pct; provider_collapse_pct	W1 to W25	Estimated death-spiral probability for the active scenario is 69.5%.	AutoEvaluator	Estimated death-spiral probability for the active scenario is 69.5%.	at_risk	0.83	true
B13	B Builders	Builders / protocol designers	What if burn fraction or emission decay is changed?	P	P	remains_P	Simulator/Sidebar Tokenomics; Benchmark/SolvencyProjectionChart	current_solvency_ratio; baseline_burn_pct; projected_solvency_burn_up_emission_down; projected_solvency_burn_down_emission_up	W25 directional sweep	Directional sweep indicates higher burn and tighter emission pressure improve solvency from the current state.	AutoEvaluator	Directional sweep indicates higher burn and tighter emission pressure improve solvency from the current state.	yes	0.75	true
B14	B Builders	Builders / protocol designers	Do differentiated incentives by commitment tier improve retention quality?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; Diagnostic/StrategicRecommendationsPanel	pro_retention_pct; mercenary_retention_pct; retention_quality_lift_pp; pro_margin_usd_week; mercenary_margin_usd_week	W1 to W25	Commitment-tier quality lift is 9.4pp (pro retention vs mercenary retention).	AutoEvaluator	Commitment-tier quality lift is 9.4pp (pro retention vs mercenary retention).	yes	0.79	true
B15	B Builders	Builders / protocol designers	Are we optimizing peak returns or downside resilience?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; DecisionTree/Risk	peak_margin_usd_week; average_margin_usd_week; downside_resilience_score	W1 to W25	Current objective profile is classified as: Peak returns bias.	AutoEvaluator	Current objective profile is classified as: Peak returns bias.	no	0.80	true
B16	B Builders	Builders / protocol designers	Which design changes improve robustness without overfitting one scenario?	Y	P	promoted_from_P_confidence>=0.79_reproducible	ScenarioComparisonPanel; DecisionTree/Risk	robust_dimensions_improved; robust_dimensions_harmed; risk_delta_pp; retention_delta_pp; coverage_delta_pp; solvency_delta	Design-change run vs baseline run	Design change shows mixed robustness impact and needs broader scenario validation.	AutoEvaluator	Design change shows mixed robustness impact and needs broader scenario validation.	at_risk	0.79	true
B17	B Builders	Builders / protocol designers	Which failure mode is currently most likely if no intervention is made?	Y	P	promoted_from_P_confidence>=0.79_reproducible	Diagnostic/SignalsOfDeathPanel; DecisionTree/Risk	predicted_failure_mode	W25	Most likely no-intervention failure mode is Provider Capitulation.	AutoEvaluator	Most likely no-intervention failure mode is Provider Capitulation.	at_risk	0.83	true
B18	B Builders	Builders / protocol designers	Did a proposed parameter change improve robustness across scenarios, not just one?	Y	P	promoted_from_P_confidence>=0.79_reproducible	ScenarioComparisonPanel; DecisionTree/Risk	robustness_improvements_count; death_spiral_probability_delta_pp; late_window_solvency_delta; retention_delta_pp	Proposal run vs baseline run (matching horizon)	Proposed parameter change improves robustness across core scenario metrics.	AutoEvaluator	Proposed parameter change improves robustness across core scenario metrics.	yes	0.81	true
C1	C Governance	Onocoy governance / DAO / foundation	Which stress-response archetype are we currently exhibiting (Subsidy Inertia, Overfitting, Re-targeting, Narrative Pivot, Emergency Centralization)?	P	P	remains_P	ScenarioComparisonPanel; Simulator/Sidebar Tokenomics	governance_archetype; subsidy_gap_pct; structural_action_score; centralization_proxy_score	W25 governance state	Current governance response archetype is classified as Overfitting.	AutoEvaluator	Current governance response archetype is classified as Overfitting.	at_risk	0.74	true
C2	C Governance	Onocoy governance / DAO / foundation	Are governance decisions widening the subsidy gap?	Y	P	promoted_from_P_confidence>=0.79_reproducible	ScenarioComparisonPanel; Benchmark/SolvencyProjectionChart	baseline_subsidy_gap_pct; post_subsidy_gap_pct; subsidy_gap_delta_pp; baseline_solvency_ratio; post_solvency_ratio	Baseline W22-25 vs post-decision W22-25	Subsidy-gap movement is mixed or near-flat versus baseline.	AutoEvaluator	Subsidy-gap movement is mixed or near-flat versus baseline.	at_risk	0.80	true
C3	C Governance	Onocoy governance / DAO / foundation	Are temporary reward boosts creating short-lived retention and long-term fragility?	P	P	remains_P	DecisionTree/Miner; Benchmark/SolvencyProjectionChart	early_retention_pct; middle_retention_pct; late_retention_pct; solvency_late_minus_early; death_spiral_probability_pct	Early/Mid/Late segments across W1-25	No strong evidence of temporary-only retention support driving long-run fragility in this run.	AutoEvaluator	No strong evidence of temporary-only retention support driving long-run fragility in this run.	at_risk	0.73	true
C4	C Governance	Onocoy governance / DAO / foundation	Are we rewarding economically valuable output or just participation volume?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Utility; DecisionTree/Financial	output_delta_pct; reward_delta_pct; provider_delta_pct; reward_output_tracking_gap_pp	W1 to W25	Rewarding appears more aligned with delivered output than raw participation growth.	AutoEvaluator	Rewarding appears more aligned with delivered output than raw participation growth.	at_risk	0.80	true
C5	C Governance	Onocoy governance / DAO / foundation	Is provider margin deterioration a leading warning signal right now?	Y	Y	not_applicable	DecisionTree/Miner; Diagnostic/SolvencyScorecard	margin_delta_wow_usd_week; churn_delta_wow_pp; current_margin_usd_week	W24 vs W25	Provider margin deterioration is not currently signaling near-term fragility.	AutoEvaluator	None	no	0.86	true
C6	C Governance	Onocoy governance / DAO / foundation	How many providers are near/below breakeven?	P	P	remains_P	Diagnostic/SolvencyScorecard; DecisionTree/Miner	providers_total; providers_below_breakeven; providers_below_breakeven_pct; providers_near_breakeven_est; providers_near_breakeven_pct	W25	Estimated 0 providers are below breakeven and ~83 are near breakeven.	AutoEvaluator	Estimated 0 providers are below breakeven and ~83 are near breakeven.	yes	0.76	true
C7	C Governance	Onocoy governance / DAO / foundation	Is ONO price sensitivity translating into delayed churn risk?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Risk; DecisionTree/Miner	price_drawdown_pct; lag_shock_to_churn_weeks; current_churn_pct_week	W1-25	Delayed churn translation from price sensitivity is weak or not yet activated.	AutoEvaluator	Delayed churn translation from price sensitivity is weak or not yet activated.	no	0.82	true
C8	C Governance	Onocoy governance / DAO / foundation	Are we over-relying on narrative versus structural parameter change?	P	P	remains_P	ScenarioComparisonPanel; Simulator/Sidebar Tokenomics	structural_action_score; risk_delta_pp; late_solvency_delta; retention_delta_pp	Post-intervention run vs baseline run	Intervention appears structurally grounded relative to observed outcomes.	AutoEvaluator	Intervention appears structurally grounded relative to observed outcomes.	no	0.72	true
C9	C Governance	Onocoy governance / DAO / foundation	Are we drifting toward emergency centralization to maintain coverage?	P	P	remains_P	DecisionTree/Utility; DecisionTree/Miner	centralization_proxy_score; provider_compression_pct; top10_share_proxy_pct; foundation_fallback_proxy_pct; cohort_hhi_pct; coverage_pct	W1-25	No strong emergency-centralization drift is detected in current proxies.	AutoEvaluator	No strong emergency-centralization drift is detected in current proxies.	no	0.66	true
C10	C Governance	Onocoy governance / DAO / foundation	Does current policy protect high-commitment providers better than mercenary supply?	Y	Y	not_applicable	DecisionTree/Miner; Simulator/Sandbox Tier 1	pro_retention_pct; mercenary_retention_pct; commitment_protection_gap_pp; pro_margin_usd_week; mercenary_margin_usd_week	W1 to W25	Current policy appears to protect high-commitment providers better than mercenary supply.	AutoEvaluator	None	yes	0.84	true
C11	C Governance	Onocoy governance / DAO / foundation	What happens if we extend beta/bonus rewards 4, 8, or 12 weeks?	P	P	remains_P	Simulator/Sidebar Tokenomics; ScenarioComparisonPanel	ext4_projected_retention_pct; ext8_projected_retention_pct; ext12_projected_retention_pct; ext4_subsidy_gap_pct; ext8_subsidy_gap_pct; ext12_subsidy_gap_pct; ext12_projected_solvency	Policy counterfactual from current state W25	Extension options do not currently show a clear governance-efficient tradeoff.	AutoEvaluator	Extension options do not currently show a clear governance-efficient tradeoff.	no	0.72	true
C12	C Governance	Onocoy governance / DAO / foundation	What happens if we increase demand-linking in rewards?	P	P	remains_P	Simulator/Sidebar Tokenomics; DecisionTree/Financial	current_tracking_gap_pp; projected_tracking_gap_pp; current_solvency_ratio; projected_solvency_ratio	W1 to W25	Increasing demand-linking is projected to reduce reward-usage mismatch and improve solvency directionally.	AutoEvaluator	Increasing demand-linking is projected to reduce reward-usage mismatch and improve solvency directionally.	yes	0.73	true
C13	C Governance	Onocoy governance / DAO / foundation	What happens if we adjust burn fraction or emission decay?	Y	Y	not_applicable	Simulator/Sidebar Tokenomics; Benchmark/SolvencyProjectionChart	current_solvency_ratio; projected_solvency_burn_up_emission_down; projected_solvency_burn_down_emission_up	W25 directional estimate	Higher burn and lower effective emission pressure are directionally favorable for solvency in the current state.	AutoEvaluator	None	yes	0.70	true
C14	C Governance	Onocoy governance / DAO / foundation	Which KPI triggers should force governance review?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Financial; DecisionTree/Miner	governance_review_trigger_count; solvency_ratio; payback_months_est; churn_rate_pct; demand_coverage_pct	W25	Governance review should be triggered by: Churn pressure (>=60% of panic zone), Demand coverage below 90%, Retention below benchmark floor.	AutoEvaluator	Governance review should be triggered by: Churn pressure (>=60% of panic zone), Demand coverage below 90%, Retention below benchmark floor.	at_risk	0.84	true
C15	C Governance	Onocoy governance / DAO / foundation	Which KPI triggers should force emergency action?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Risk; Benchmark/SolvencyProjectionChart	emergency_trigger_count; solvency_ratio; churn_rate_pct; demand_coverage_pct; death_spiral_probability_pct	W25	Emergency action threshold breached: Demand coverage below 80%, Death-spiral probability above 50%.	AutoEvaluator	Emergency action threshold breached: Demand coverage below 80%, Death-spiral probability above 50%.	at_risk	0.86	true
C16	C Governance	Onocoy governance / DAO / foundation	Are capacity metrics masking latent degradation?	Y	Y	not_applicable	DecisionTree/Utility; DecisionTree/Miner	demand_coverage_pct; providers_delta_wow_pct; churn_rate_pct; retention_pct	W24 vs W25	No strong masking pattern is detected between capacity metrics and latent degradation signals.	AutoEvaluator	None	no	0.85	true
C17	C Governance	Onocoy governance / DAO / foundation	Are we improving burn-to-mint trajectory toward solvency?	Y	Y	not_applicable	Benchmark/SolvencyProjectionChart; DecisionTree/Financial	solvency_avg_early; solvency_avg_late; solvency_window_delta	Early W1-3 vs Late W22-25	Burn-to-mint trajectory is improving toward solvency.	AutoEvaluator	None	yes	0.90	true
C18	C Governance	Onocoy governance / DAO / foundation	Are governance interventions reducing fragility or just delaying it?	Y	P	promoted_from_P_confidence>=0.79_reproducible	ScenarioComparisonPanel; DecisionTree/Risk	intervention_death_spiral_probability_pct; baseline_death_spiral_probability_pct; death_spiral_probability_delta_pp; insolvency_weeks_delta; provider_collapse_delta_pp	Intervention W1-25 vs baseline	Intervention run reduces fragility versus baseline across core risk markers.	AutoEvaluator	Intervention run reduces fragility versus baseline across core risk markers.	yes	0.82	true
D1	D Providers	Providers / miners	What is my current expected margin by provider tier?	P	P	remains_P	DecisionTree/Miner; Diagnostic/SolvencyScorecard	pro_margin_usd_week; mercenary_margin_usd_week; pro_count; mercenary_count	W25	Estimated weekly margins: pro tier 686.22 USD, mercenary tier 447.48 USD.	AutoEvaluator	Estimated weekly margins: pro tier 686.22 USD, mercenary tier 447.48 USD.	yes	0.75	true
D2	D Providers	Providers / miners	How sensitive is my profitability to ONO price changes?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; DecisionTree/Risk	current_margin_usd_week; break_even_price_usd; price_buffer_to_breakeven_pct; margin_change_per_10pct_price; price_sensitivity_score	W25	Profitability has a healthy price buffer before breakeven.	AutoEvaluator	Profitability has a healthy price buffer before breakeven.	no	0.82	true
D3	D Providers	Providers / miners	At what price/margin level does churn risk become high?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; Simulator/Sandbox Tier 1	churn_threshold_margin_usd_week; current_margin_usd_week; margin_buffer_to_churn_usd_week; churn_risk_price_usd; price_buffer_to_churn_pct	W25	Current economics are close to or inside the high-churn risk zone.	AutoEvaluator	Current economics are close to or inside the high-churn risk zone.	at_risk	0.83	true
D4	D Providers	Providers / miners	How do my economics compare to alternative networks?	Y	Y	not_applicable	Benchmark/ComparativeMatrix; DecisionTree/Miner	margin_delta_vs_comparison_usd_week; payback_delta_vs_comparison_months; retention_delta_vs_comparison_pp	Current W25 vs comparison W25	Provider economics comparison versus baseline/peer: 3/3 core metrics favorable.	AutoEvaluator	None	yes	0.84	true
D5	D Providers	Providers / miners	Is reward policy favoring long-term reliable operators?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; Diagnostic/StrategicRecommendationsPanel	pro_retention_pct; mercenary_retention_pct; reliability_bias_gap_pp; pro_margin_usd_week; mercenary_margin_usd_week	W1 to W25	Reward policy is currently favoring long-term reliable operators.	AutoEvaluator	Reward policy is currently favoring long-term reliable operators.	yes	0.82	true
D6	D Providers	Providers / miners	How do cost shocks affect each provider type?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; Simulator/Sidebar Provider Economics	pro_margin_after_cost_shock; merc_margin_after_cost_shock; cost_shock_increment	W25 projected +20% cost shock	Both provider tiers remain profitable under a +20% cost shock.	AutoEvaluator	Both provider tiers remain profitable under a +20% cost shock.	yes	0.80	true
D7	D Providers	Providers / miners	Are current rewards likely sustainable or temporary subsidy?	Y	Y	not_applicable	Diagnostic/SolvencyScorecard; DecisionTree/Financial	solvency_ratio; reward_demand_ratio; demand_coverage_pct	W25	Current rewards appear partially or fully subsidy-supported.	AutoEvaluator	None	at_risk	0.90	true
D8	D Providers	Providers / miners	What is expected retention trend for my cohort?	Y	P	promoted_from_P_confidence>=0.79_reproducible	Simulator/Sandbox Tier 1; DecisionTree/Miner	retention_pct; retention_delta_wow_pp; churn_rate_pct	W24 to W25	Expected retention trend is stable/improving (3.23pp WoW).	AutoEvaluator	Expected retention trend is stable/improving (3.23pp WoW).	at_risk	0.83	true
D9	D Providers	Providers / miners	Are there early signs that nominal rewards are losing real value?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; DecisionTree/Risk	margin_delta_wow_usd_week; payback_delta_wow_months; price_delta_wow_pct; erosion_signal_count	W24 vs W25	No strong early warning of nominal reward-value erosion.	AutoEvaluator	No strong early warning of nominal reward-value erosion.	no	0.81	true
D10	D Providers	Providers / miners	Are quality/uptime-linked rewards improving my long-term expected return?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; DecisionTree/Utility	pro_tier_efficiency; pro_retention_pct; mercenary_retention_pct; pro_margin_usd_week; mercenary_margin_usd_week	W1 to W25	Quality/uptime-linked incentives are improving long-term expected operator return.	AutoEvaluator	Quality/uptime-linked incentives are improving long-term expected operator return.	yes	0.80	true
D11	D Providers	Providers / miners	Under each stress scenario, when does breakeven break?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; Benchmark/HealthMetricsBarChart	breakeven_break_week; end_payback_months_est	W1 to W25	Breakeven breaks at W4 in the active scenario path.	AutoEvaluator	Breakeven breaks at W4 in the active scenario path.	at_risk	0.81	true
D12	D Providers	Providers / miners	Is current participation rational under downside conditions?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; DecisionTree/Risk	downside_margin_20pct_usd_week; payback_months_est; death_spiral_probability_pct; solvency_ratio	W25	Participation is borderline under downside stress and needs active monitoring.	AutoEvaluator	Participation is borderline under downside stress and needs active monitoring.	at_risk	0.80	true
E1	E Users	Users / rovers / enterprise buyers	Will service continuity remain stable if provider churn rises?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Utility; DecisionTree/Miner	current_churn_pct_week; churn_pressure_active; min_demand_coverage_pct	W1-25	Service continuity is degrading under churn pressure.	AutoEvaluator	Service continuity is degrading under churn pressure.	no	0.81	true
E2	E Users	Users / rovers / enterprise buyers	Is capacity still sufficient for expected demand?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Utility; Benchmark/HealthMetricsBarChart	demand_coverage_pct; capacity_buffer_pct; capacity_units; demand_units	W25	Capacity sufficiency is tightening relative to expected demand.	AutoEvaluator	Capacity sufficiency is tightening relative to expected demand.	no	0.85	true
E3	E Users	Users / rovers / enterprise buyers	Are there signs of latent degradation (capacity at risk despite current uptime)?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Utility; DecisionTree/Miner	demand_coverage_pct; providers_delta_wow_pct; churn_pct_week; retention_pct	W24 vs W25	No strong latent degradation signal is visible behind current uptime metrics.	AutoEvaluator	No strong latent degradation signal is visible behind current uptime metrics.	no	0.84	true
E4	E Users	Users / rovers / enterprise buyers	Which stress scenarios threaten service quality most?	P	P	remains_P	DecisionTree/Utility; Benchmark/AIInsights	top_service_threat; top_service_threat_score; demand_coverage_pct	W25	Most threatening service-quality stress signature is Demand contraction stress.	AutoEvaluator	Most threatening service-quality stress signature is Demand contraction stress.	at_risk	0.78	true
E5	E Users	Users / rovers / enterprise buyers	How resilient is coverage to liquidity events?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Utility; DecisionTree/Risk	liquidity_event_active; demand_coverage_pct; providers_delta_wow_pct	W25 liquidity-event view	Coverage is degrading under liquidity-event conditions.	AutoEvaluator	Coverage is degrading under liquidity-event conditions.	no	0.80	true
E6	E Users	Users / rovers / enterprise buyers	How resilient is coverage to provider cost inflation?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Utility; DecisionTree/Miner	provider_cost_delta_vs_reference_pct; demand_coverage_pct; retention_pct	W25 cost-inflation view	Coverage resilience weakens under provider-cost inflation.	AutoEvaluator	Coverage resilience weakens under provider-cost inflation.	no	0.79	true
E7	E Users	Users / rovers / enterprise buyers	Are quality-linked incentives protecting delivered service?	P	P	remains_P	DecisionTree/Utility; DecisionTree/Miner	quality_lever_active; demand_coverage_pct; pro_retention_pct; mercenary_retention_pct	W25	Protection from quality-linked incentives is partial or not evident in this run.	AutoEvaluator	Protection from quality-linked incentives is partial or not evident in this run.	at_risk	0.78	true
E8	E Users	Users / rovers / enterprise buyers	Is the network becoming more or less reliable over time?	Y	P	promoted_from_P_confidence>=0.79_reproducible	Benchmark/HealthMetricsBarChart; DecisionTree/Utility	reliability_index_early; reliability_index_late; reliability_index_delta	Early W1-3 vs Late W22-25	Network reliability is improving over time.	AutoEvaluator	Network reliability is improving over time.	yes	0.82	true
F1	F Researchers	Researchers / thesis readers	Are stress inputs explicitly defined and separated from outcomes?	Y	Y	not_applicable	Simulator/Sidebar; Simulator/Sandbox	stress_inputs_defined; outcome_series_available	Inputs + W1-25 outcomes	Stress inputs are explicitly parameterized and separated from outcome trajectories.	AutoEvaluator	None	yes	0.96	true
F2	F Researchers	Researchers / thesis readers	Are scenario assumptions visible and reproducible?	Y	Y	not_applicable	Simulator/Sidebar Scenario Library	seed; n_sims; horizon_weeks	Seed 42 • Sims 8 • Horizon 26w	Scenario assumptions are visible and reproducible via seeded simulation parameters.	AutoEvaluator	None	yes	0.95	true
F3	F Researchers	Researchers / thesis readers	Are metrics operationally defined and computed consistently?	Y	P	promoted_from_P_confidence>=0.79_reproducible	Simulator/Sandbox	metric_coverage_ratio	W1-25	Operational metric consistency is high (coverage ratio 1.000).	AutoEvaluator	Operational metric consistency is high (coverage ratio 1.000).	yes	0.83	true
