id	section	stakeholder	question	answerable_now	dashboard_location	metric_used	time_window	how_derived	owner	gap_note	verdict	confidence	reproducible
C11	C Governance	Onocoy governance / DAO / foundation	What happens if we extend beta/bonus rewards 4, 8, or 12 weeks?	P	Simulator/Sidebar Tokenomics; ScenarioComparisonPanel	ext4_projected_retention_pct; ext8_projected_retention_pct; ext12_projected_retention_pct; ext4_subsidy_gap_pct; ext8_subsidy_gap_pct; ext12_subsidy_gap_pct; ext12_projected_solvency	Policy counterfactual from current state W25	Extension options do not currently show a clear governance-efficient tradeoff.	AutoEvaluator	Extension options do not currently show a clear governance-efficient tradeoff.	no	0.72	true
C12	C Governance	Onocoy governance / DAO / foundation	What happens if we increase demand-linking in rewards?	P	Simulator/Sidebar Tokenomics; DecisionTree/Financial	current_tracking_gap_pp; projected_tracking_gap_pp; current_solvency_ratio; projected_solvency_ratio	W1 to W25	Increasing demand-linking is projected to reduce reward-usage mismatch and improve solvency directionally.	AutoEvaluator	Increasing demand-linking is projected to reduce reward-usage mismatch and improve solvency directionally.	yes	0.73	true
D1	D Providers	Providers / miners	What is my current expected margin by provider tier?	P	DecisionTree/Miner; Diagnostic/SolvencyScorecard	pro_margin_usd_week; mercenary_margin_usd_week; pro_count; mercenary_count	W25	Estimated weekly margins: pro tier 686.22 USD, mercenary tier 447.48 USD.	AutoEvaluator	Estimated weekly margins: pro tier 686.22 USD, mercenary tier 447.48 USD.	yes	0.75	true
E4	E Users	Users / rovers / enterprise buyers	Which stress scenarios threaten service quality most?	P	DecisionTree/Utility; Benchmark/AIInsights	top_service_threat; top_service_threat_score; demand_coverage_pct	W25	Most threatening service-quality stress signature is Demand contraction stress.	AutoEvaluator	Most threatening service-quality stress signature is Demand contraction stress.	at_risk	0.78	true
E7	E Users	Users / rovers / enterprise buyers	Are quality-linked incentives protecting delivered service?	P	DecisionTree/Utility; DecisionTree/Miner	quality_lever_active; demand_coverage_pct; pro_retention_pct; mercenary_retention_pct	W25	Protection from quality-linked incentives is partial or not evident in this run.	AutoEvaluator	Protection from quality-linked incentives is partial or not evident in this run.	at_risk	0.78	true
F7	F Researchers	Researchers / thesis readers	Are causal claims avoided where only directional evidence exists?	P	Methodology/Disclaimers	causal_model_present; directional_proxy_mode	Framework-level	Current evaluator framework is directional/proxy-based and does not claim causal identification.	AutoEvaluator	Current evaluator framework is directional/proxy-based and does not claim causal identification.	yes	0.74	true
F9	F Researchers	Researchers / thesis readers	Are model limitations visible at point of interpretation?	P	Methodology/Disclaimers; MetricEvidenceLegend	limitation_signal_count	Run context	Model-limit context is sufficiently surfaced for interpretation.	AutoEvaluator	Model-limit context is sufficiently surfaced for interpretation.	yes	0.72	true
F14	F Researchers	Researchers / thesis readers	Are policy implications framed as considerations, not universal prescriptions?	P	DecisionPromptCard; Diagnostic/StrategicRecommendationsPanel	policy_frame_mode	Framework-level	Policy outputs are framed as conditional considerations tied to run context rather than universal prescriptions.	AutoEvaluator	Policy outputs are framed as conditional considerations tied to run context rather than universal prescriptions.	yes	0.76	true
G1	G Comparative	Comparative DePIN analysts / community	How does Onocoy profile compare with archetype peers under identical stress?	P	ScenarioComparisonPanel; Benchmark/ComparativeMatrix	comparative_profile_score; risk_delta_vs_peer_pp; retention_delta_vs_peer_pp; coverage_delta_vs_peer_pp; solvency_delta_vs_peer	Current profile vs baseline archetype profile (matched horizon)	Onocoy profile is comparatively weaker versus peer archetype under matched stress.	AutoEvaluator	Onocoy profile is comparatively weaker versus peer archetype under matched stress.	no	0.78	true
G8	G Comparative	Comparative DePIN analysts / community	Is Onocoy’s capped-supply profile trading flexibility for anti-dilution resilience?	P	Benchmark/HealthMetricsBarChart; DecisionTree/Utility	mint_pressure_pct_supply_weekly; solvency_ratio; demand_coverage_pct; utilization_pct	W25	Anti-dilution resilience is not strong enough to infer this tradeoff.	AutoEvaluator	Anti-dilution resilience is not strong enough to infer this tradeoff.	no	0.77	true
H4	H Token	Token holders / treasury-risk readers	How much of provider retention is subsidy-supported vs economically viable?	P	Diagnostic/SolvencyScorecard; DecisionTree/Miner	subsidy_supported_retention_pct; economically_viable_retention_pct; underwater_provider_count	W25	Estimated subsidy-supported retention share is 8.0% (economically viable share 92.0%).	AutoEvaluator	Estimated subsidy-supported retention share is 8.0% (economically viable share 92.0%).	no	0.77	true
M1	I Onocoy Inputs	Onocoy governance / DAO / foundation	Can we directly measure spoofing detections from the dashboard today?	N	Sandbox > Onocoy Hook Layer > Integrity Pressure > Missing Primary Inputs; onocoyHookSnapshot.missingInputs	required_input; current_input_mode	N/A (primary spoofing telemetry unavailable)	Primary spoofing-detection telemetry is not wired; dashboard currently falls back to proxy-only integrity signals.	AutoEvaluator	Primary spoofing-detection telemetry is not wired; dashboard currently falls back to proxy-only integrity signals.	insufficient_data	0.99	false
M2	I Onocoy Inputs	Onocoy governance / DAO / foundation	Can we directly measure slashing-event counts from the dashboard today?	N	Sandbox > Onocoy Hook Layer > Integrity Pressure > Missing Primary Inputs; onocoyHookSnapshot.missingInputs	required_input; current_input_mode	N/A (primary slashing telemetry unavailable)	Primary slashing-event telemetry is not wired; dashboard currently uses proxy-only slashing rate assumptions.	AutoEvaluator	Primary slashing-event telemetry is not wired; dashboard currently uses proxy-only slashing rate assumptions.	insufficient_data	0.99	false
M3	I Onocoy Inputs	Onocoy governance / DAO / foundation	Can we use canonical on-chain/token-plan unlock events instead of scenario proxy unlocks?	N	Sandbox > Onocoy Hook Layer > Unlock Curve > Missing Primary Inputs; onocoyHookSnapshot.unlockSource	required_input; current_input_mode	N/A (canonical unlock schedule unavailable)	Canonical on-chain/token-plan unlock events are not wired; unlock analysis still uses scenario-proxy curves.	AutoEvaluator	Canonical on-chain/token-plan unlock events are not wired; unlock analysis still uses scenario-proxy curves.	insufficient_data	0.99	false
